"slot","panel","date","time","panel_title","chairs","discussants","section","title","presenter","coauthor","presenter_affiliation"
"Di D","01","24.09.2024","14:00-15:30 Uhr","Authoritarian state control and the formation of mass mobilization","Rebecca Strauch, Universität Konstanz","Eda Keremoglu-Waibler, Universität Konstanz; Anna-Lena Hönig, Universität Konstanz","Vergleichende Politikwissenschaft; Methoden der Politikwissenschaft","Between Net Neutrality and Networked Control – How US and Chinese Investments Shape Digital Author","Maurice Schumann",NA,"Hertie School"
"Di D","01","24.09.2024","14:00-15:30 Uhr","Authoritarian state control and the formation of mass mobilization","Rebecca Strauch, Universität Konstanz","Eda Keremoglu-Waibler, Universität Konstanz; Anna-Lena Hönig, Universität Konstanz","Vergleichende Politikwissenschaft; Methoden der Politikwissenschaft","Between Net Neutrality and Networked Control – How US and Chinese Investments Shape Digital Author","Fabiola Schwarz",NA,"Technische Universität München"
"Di D","01","24.09.2024","14:00-15:30 Uhr","Authoritarian state control and the formation of mass mobilization","Rebecca Strauch, Universität Konstanz","Eda Keremoglu-Waibler, Universität Konstanz; Anna-Lena Hönig, Universität Konstanz","Vergleichende Politikwissenschaft; Methoden der Politikwissenschaft","Perception of Climate C","Rebecca Strauch",NA,"Universität Konstanz"
"Di D","01","24.09.2024","14:00-15:30 Uhr","Authoritarian state control and the formation of mass mobilization","Rebecca Strauch, Universität Konstanz","Eda Keremoglu-Waibler, Universität Konstanz; Anna-Lena Hönig, Universität Konstanz","Vergleichende Politikwissenschaft; Methoden der Politikwissenschaft","Political parties in res","Roman Krtsch",NA,"Eberhard Karls Universität Tübingen"
"Di D","01","24.09.2024","14:00-15:30 Uhr","Authoritarian state control and the formation of mass mobilization","Rebecca Strauch, Universität Konstanz","Eda Keremoglu-Waibler, Universität Konstanz; Anna-Lena Hönig, Universität Konstanz","Vergleichende Politikwissenschaft; Methoden der Politikwissenschaft","Unveiling the faces of dissent: Disaggregating protest participati","Anna-Lena Hönig",NA,"Universität Konstanz"
"Di D","02","24.09.2024","14:00-15:30 Uhr","Contestations within and beyond the Polycrisis – ""Deutungskämpfe im Übergang""","Hanna Pfeifer, Goethe-Universität Frankfurt","Florian P. Kühn, University of Gothenburg / Universität Bayreuth","Internationale Beziehungen; Kritische Sicherheitsstudien","How did we know Afghanistan? Knowledge production on a conte","Amelie Harbisch",NA,"Universität Erfurt"
"Di D","02","24.09.2024","14:00-15:30 Uhr","Contestations within and beyond the Polycrisis – ""Deutungskämpfe im Übergang""","Hanna Pfeifer, Goethe-Universität Frankfurt","Florian P. Kühn, University of Gothenburg / Universität Bayreuth","Internationale Beziehungen; Kritische Sicherheitsstudien","How did we know Afghanistan? Knowledge production on a conte","Sophia Hoffmann",NA,"Universität Erfurt"
"Di D","02","24.09.2024","14:00-15:30 Uhr","Contestations within and beyond the Polycrisis – ""Deutungskämpfe im Übergang""","Hanna Pfeifer, Goethe-Universität Frankfurt","Florian P. Kühn, University of Gothenburg / Universität Bayreuth","Internationale Beziehungen; Kritische Sicherheitsstudien","Reconceptualizing (Corporate) Responsibility: The Case of Arms Manufacturers ","Bretton J. McEvoy","Jana Hönke","Universität Bayreuth"
"Di D","02","24.09.2024","14:00-15:30 Uhr","Contestations within and beyond the Polycrisis – ""Deutungskämpfe im Übergang""","Hanna Pfeifer, Goethe-Universität Frankfurt","Florian P. Kühn, University of Gothenburg / Universität Bayreuth","Internationale Beziehungen; Kritische Sicherheitsstudien","Violence makes the world look different – on the dynamics of contestation of what violence means (Ko-Autor*innen: Alexander Schwarz, ","Florian P. Kühn",NA,"Universities of Gothenburg and Bayreuth"
"Di D","03","24.09.2024","14:00-15:30 Uhr","Crises and Theories of the Policy Process","Sandra Plümer, Universität Bielefeld; Johanna Künzler, Deutsche Universität für Verwaltungswissenschaften Speyer","Johanna Hornung, Universität Bern","Policy-Analyse und Verwaltungswissenschaft; Vergleichende Politikwissenschaft","Europe’s new interventionism. Punctuated equilibrium and EU ene","Andreas Goldthau",NA,"Universität Erfurt"
